@relation upwork

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f {0,1}

@data
6262.21,501.4,43.85,1,8555.308024,1
175776,0,0,1,6811.459657,1
1157.74,0,756.35,1,13271.395942,1
1415.07,0,1013.68,1,13271.395942,1
1197.74,0,796.35,1,13271.395942,1
0,5908.04,3077.95,1,6915.977792,1
34230.1,6827,2040,1,10191.547518,1
0,250,33328.49,1,6062.074249,1
1273.9,3118.34,8767.51,1,3504.728123,1
211.17,0,0,1,45.626342,1
0,1121.5,31497.11,1,1310.342839,1
1010.34,0,0,1,994.443041,1
2215.55,6624.91,16467.68,1,6591.058752,1
450,0,0,1,7863.344037,1
0,0,2453.66,1,9965.499245,1
0,4914.93,208564.98,1,15416.866478,1
39377.3,0,0,1,6122.16114,1
3132.89,232.5,0,1,3322.104777,1
1508.79,0,201.84,1,3443.245325,1
0,2845.33,36713.42,1,14136.51719,1
0,20,5887.75,1,8773.33989,0
0,0,364.45,1,23.049955,0
34030.7,7698.9,0,1,11747.78538,0
170.5,0,0,1,10254.964576,0
0,0,0,1,11485.499562,0
29001.4,472.11,49147.25,1,17647.56551,0
102634,0,0,1,16322.222659,0
0,1300,15982.25,1,954.498592,0
1107.13,1530,36099.59,1,3693.082555,0
530.98,0,0,1,2974.823449,0
0,0,0,1,759.946736,0
959.73,0,0,1,12207.126323,0
0,1952.73,3.08,1,13606.042392,0
0,1450.55,8191.47,1,827.810772,0
4215.8,0,0,1,10940.32907,0
949.16,195.67,14215.44,1,12961.281084,0
102634,5,73,1,16322.222659,0
2198.16,0,0,1,8676.491325,0
0,531.66,55.55,0,77.424509,0
16593.6,390,5,1,13465.238035,0
